iter	MultiLogloss
0	0.4446044229
1	0.3538146694
2	0.3221775605
3	0.3062149227
4	0.2987930257
5	0.2958637173
6	0.2931436107
7	0.2908856558
8	0.2900670386
9	0.2881706036
10	0.2874624416
11	0.2865309244
12	0.286007976
13	0.2857877897
14	0.2855061795
15	0.2851530434
16	0.2847897175
17	0.2844742425
18	0.2843701742
19	0.28419531
20	0.2839650892
21	0.2837384696
22	0.2836435022
23	0.2835627847
24	0.2835243684
25	0.2834612765
26	0.2833118574
27	0.2832712593
28	0.2830053446
29	0.2829008796
30	0.2828029824
31	0.2827239211
32	0.2826724849
33	0.2825752245
34	0.282547676
35	0.2824842503
36	0.2824078363
37	0.2823845065
38	0.2823509663
39	0.2823449716
40	0.2823312726
41	0.2823033678
42	0.2822737119
43	0.2822579697
44	0.2821716802
45	0.2821594212
46	0.2821467894
47	0.2821205492
48	0.2821100536
49	0.2820971991
50	0.2820885356
51	0.2820850628
52	0.2820524042
53	0.2820119401
54	0.2820072423
55	0.2819975171
56	0.2819928496
57	0.2819868777
58	0.2819399281
59	0.2819367323
60	0.2819349169
61	0.2819210123
62	0.281912744
63	0.2819060073
64	0.281902376
65	0.2819001997
66	0.2818973969
67	0.2818934632
68	0.2818901794
69	0.2818885694
70	0.2818873304
71	0.2818861898
72	0.2818856502
73	0.28188272
74	0.2818722048
75	0.2818694197
76	0.281868606
77	0.2818676677
78	0.2818546493
79	0.2818526321
80	0.2818493501
81	0.2818486816
82	0.2818473498
83	0.2818464476
84	0.2818456554
85	0.2818394131
86	0.2818381805
87	0.2818371317
88	0.2818360963
89	0.2818354112
90	0.2818343114
91	0.2818329505
92	0.281830614
93	0.2818300337
94	0.2818290985
95	0.2818274627
96	0.2818250756
97	0.2818234221
98	0.2818226208
99	0.2818222756
100	0.2818216013
101	0.2818208092
102	0.2818138094
103	0.2818130352
104	0.2818128173
105	0.2818124525
106	0.2818118292
107	0.2818113083
108	0.2818106967
109	0.2818104052
110	0.281809577
111	0.2818084034
112	0.2818061371
113	0.2818058741
114	0.2818053101
115	0.281805022
116	0.281804667
117	0.2818043691
118	0.2818041728
119	0.2818030486
120	0.2818027586
121	0.2818013833
