group_id,x,y,w,h,FID_Soil25,soilgroup,fertility,texture_to,OBJECTID,Id,sugar,cassava,maize,rice,water_code,crop_type
466,102.30453844827855,12.508887872059065,0.01,0.01,"300.0,270.0,272.0,312.0,331.0,793.0,863.0","34B,45B,45C,6,34,SC,34","ต่ำ,ปานกลาง,ปานกลาง,ต่ำ,ต่ำ,-,ต่ำ","ดินร่วนปนทราย,ดินร่วนปนดินเหนียว,ดินร่วนปนดินเหนียว,ดินร่วนปนดินเหนียว,ดินร่วนปนทราย,ดินร่วนปนทราย",12574.0,18.0,0.0,1.0,0.0,0.0,3.0,A0204
606,102.12453844827846,12.548887872059064,0.01,0.01,"815.0,816.0,853.0,963.0,758.0,793.0,834.0,1012.0","17,22,26B,14,43,SC,16,W","ต่ำ,ต่ำ,ต่ำ,ต่ำ,ต่ำ,-,ต่ำ,-","ดินร่วนปนทราย,ดินร่วนปนทราย,ดินร่วนปนดินเหนียว,ดินร่วนปนทราย,ดินทรายปนดินร่วน,ดินร่วนปนทรายแป้ง","351163.0,351163.0,351163.0","0.0,0.0,0.0",0.0,0.0,0.0,3.0,"3.0,3.0,3.0","A0102,A0102,A0102"
607,102.13453844827846,12.548887872059064,0.01,0.01,"815.0,816.0,963.0,758.0","17,22,14,43","ต่ำ,ต่ำ,ต่ำ,ต่ำ","ดินร่วนปนทราย,ดินร่วนปนทราย,ดินร่วนปนทราย,ดินทรายปนดินร่วน","351163.0,351163.0,351163.0","0.0,0.0,0.0",0.0,0.0,0.0,3.0,"3.0,3.0,3.0","A0102,A0102,A0102"
651,102.12453844827846,12.558887872059064,0.01,0.01,"963.0,1012.0","14,W","ต่ำ,-",ดินร่วนปนทราย,"351163.0,351162.0,351163.0,351163.0","0.0,0.0,0.0,0.0",0.0,0.0,0.0,4.0,"3.0,3.0,3.0,3.0","A0102,A0102,A0102,A0102"
652,102.13453844827846,12.558887872059064,0.01,0.01,"815.0,963.0,758.0,1012.0","17,14,43,W","ต่ำ,ต่ำ,ต่ำ,-","ดินร่วนปนทราย,ดินร่วนปนทราย,ดินทรายปนดินร่วน","351161.0,351163.0,351161.0,351163.0,351163.0,351161.0","0.0,0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,6.0,"3.0,3.0,3.0,3.0,3.0,3.0","A0102,A0102,A0102,A0102,A0102,A0102"
701,102.12453844827846,12.568887872059063,0.01,0.01,"963.0,1012.0","14,W","ต่ำ,-",ดินร่วนปนทราย,351162.0,0.0,0.0,0.0,0.0,1.0,3.0,A0102
702,102.13453844827846,12.568887872059063,0.01,0.01,"815.0,963.0,1012.0","17,14,W","ต่ำ,ต่ำ,-","ดินร่วนปนทราย,ดินร่วนปนทราย","351161.0,351162.0,351161.0,351161.0","0.0,0.0,0.0,0.0",0.0,0.0,0.0,4.0,"3.0,3.0,3.0,3.0","A0102,A0102,A0102,A0102"
757,102.12453844827846,12.578887872059063,0.01,0.01,"963.0,1012.0","14,W","ต่ำ,-",ดินร่วนปนทราย,351162.0,0.0,0.0,0.0,0.0,1.0,3.0,A0102
814,102.12453844827846,12.588887872059063,0.01,0.01,"433.0,963.0,1012.0","34,14,W","ปานกลาง,ต่ำ,-","ดินร่วนปนทราย,ดินร่วนปนทราย","351161.0,351162.0,351161.0,351161.0","0.0,0.0,0.0,0.0",0.0,0.0,0.0,4.0,"3.0,3.0,3.0,3.0","A0102,A0102,A0102,A0102"
815,102.13453844827846,12.588887872059063,0.01,0.01,"815.0,963.0","17,14","ต่ำ,ต่ำ","ดินร่วนปนทราย,ดินร่วนปนทราย","351161.0,351161.0,351161.0","0.0,0.0,0.0",0.0,0.0,0.0,3.0,"3.0,3.0,3.0","A0102,A0102,A0102"
816,102.14453844827847,12.588887872059063,0.01,0.01,"815.0,963.0,1012.0","17,14,W","ต่ำ,ต่ำ,-","ดินร่วนปนทราย,ดินร่วนปนทราย","351161.0,351161.0,351161.0","0.0,0.0,0.0",0.0,0.0,0.0,3.0,"3.0,3.0,3.0","A0102,A0102,A0102"
1062,101.38453844827808,12.628887872059062,0.01,0.01,"38.0,28.0","42,44","ต่ำ,ต่ำ","ดินทรายปนดินร่วน,ดินทรายปนดินร่วน","351125.0,351125.0,351125.0,351125.0,351125.0","0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,5.0,"3.0,3.0,3.0,3.0,3.0","A0102,A0102,A0102,A0102,A0102"
1063,101.39453844827808,12.628887872059062,0.01,0.01,"38.0,28.0,40.0","42,44,43","ต่ำ,ต่ำ,ต่ำ","ดินทรายปนดินร่วน,ดินทรายปนดินร่วน,ดินทรายปนดินร่วน","351125.0,351125.0,351125.0,351125.0,351125.0","0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,5.0,"3.0,3.0,3.0,3.0,3.0","A0102,A0102,A0102,A0102,A0102"
1065,101.4145384482781,12.628887872059062,0.01,0.01,"38.0,28.0","42,44","ต่ำ,ต่ำ","ดินทรายปนดินร่วน,ดินทรายปนดินร่วน",351126.0,0.0,0.0,0.0,0.0,1.0,3.0,A0102
1153,101.39453844827808,12.638887872059062,0.01,0.01,"28.0,33.0","44,40","ต่ำ,ต่ำ","ดินทรายปนดินร่วน,ดินร่วนปนทราย","351125.0,351126.0,351125.0,351125.0,351125.0,351125.0","0.0,0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,6.0,"3.0,3.0,3.0,3.0,3.0,3.0","A0102,A0102,A0102,A0102,A0102,A0102"
1154,101.40453844827809,12.638887872059062,0.01,0.01,"28.0,33.0,801.0","44,40,43","ต่ำ,ต่ำ,ต่ำ","ดินทรายปนดินร่วน,ดินร่วนปนทราย,ดินทรายปนดินร่วน",351126.0,0.0,0.0,0.0,0.0,1.0,3.0,A0102
1155,101.4145384482781,12.638887872059062,0.01,0.01,"28.0,801.0","44,43","ต่ำ,ต่ำ","ดินทรายปนดินร่วน,ดินทรายปนดินร่วน",351126.0,0.0,0.0,0.0,0.0,1.0,3.0,A0102
1260,101.48453844827813,12.648887872059062,0.01,0.01,"311.0,270.0,273.0,780.0,863.0","17,45B,45C,43,34","ต่ำ,ปานกลาง,ปานกลาง,ต่ำ,ต่ำ","ดินร่วนปนทราย,ดินร่วนปนดินเหนียว,ดินร่วนปนดินเหนียวปนกรวด,ดินทรายปนดินร่วน,ดินร่วนปนทราย",351127.0,0.0,0.0,0.0,0.0,1.0,3.0,A0102
1262,101.50453844827814,12.648887872059062,0.01,0.01,"311.0,283.0","17,39","ต่ำ,ต่ำ","ดินร่วนปนทราย,ดินร่วนปนทราย",351127.0,0.0,0.0,0.0,0.0,1.0,3.0,A0102
1295,102.0245384482784,12.648887872059062,0.01,0.01,"885.0,339.0,411.0","27B,22,34","ต่ำ,ต่ำ,ต่ำ","ดินร่วนปนดินเหนียว,ดินร่วนปนทราย,ดินร่วนปนทราย",12577.0,18.0,0.0,1.0,0.0,0.0,3.0,A0204
1370,101.40453844827809,12.658887872059061,0.01,0.01,"497.0,500.0,706.0,793.0,801.0","35,35B,56C,SC,43","ต่ำ,ต่ำ,ต่ำ,-,ต่ำ","ดินร่วนปนทราย,ดินร่วนปนทราย,ดินร่วนปนทราย,ดินทรายปนดินร่วน","351125.0,351125.0,351125.0,351125.0,351125.0","0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,5.0,"3.0,3.0,3.0,3.0,3.0","A0102,A0102,A0102,A0102,A0102"
1463,100.92453844827784,12.668887872059061,0.01,0.01,"971.0,491.0,793.0,977.0","48B,MA,SC,48C","ปานกลาง,-,-,ปานกลาง","ดินร่วนปนดินเหนียว,ดินร่วนปนดินเหนียว","351114.0,351114.0","0.0,0.0",0.0,0.0,0.0,2.0,"3.0,3.0","A0102,A0102"
