group_id,x,y,w,h,FID_Soil25,soilgroup,fertility,texture_to,OBJECTID,Id,sugar,cassava,maize,rice,water_code,crop_type,landuse
974,100.95953844827775,12.681916982570684,0.003,0.003,"174.0,770.0","35B,RL","ต่ำ,-",ดินร่วนปนทราย,8615.0,19.0,0.0,1.0,0.0,0.0,3.0,A0204,Field crop
1086,100.95353844827775,12.687916982570686,0.003,0.003,174.0,35B,ต่ำ,ดินร่วนปนทราย,8615.0,19.0,0.0,1.0,0.0,0.0,3.0,A0204,Field crop
1087,100.95653844827775,12.687916982570686,0.003,0.003,174.0,35B,ต่ำ,ดินร่วนปนทราย,8615.0,19.0,0.0,1.0,0.0,0.0,3.0,A0204,Field crop
1319,100.90253844827777,12.699916982570686,0.003,0.003,"971.0,793.0,977.0","48B,SC,48C","ปานกลาง,-,ปานกลาง","ดินร่วนปนดินเหนียว,ดินร่วนปนดินเหนียว","9858.0,9858.0,9858.0,9858.0","18.0,18.0,18.0,18.0",0.0,4.0,0.0,0.0,"3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204",Field crop
1320,100.90553844827777,12.699916982570686,0.003,0.003,"793.0,977.0","SC,48C","-,ปานกลาง",ดินร่วนปนดินเหนียว,"9858.0,9858.0,9858.0,9858.0","18.0,18.0,18.0,18.0",0.0,4.0,0.0,0.0,"3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204",Field crop
1410,100.98053844827776,12.702916982570686,0.003,0.003,33.0,40,ต่ำ,ดินร่วนปนทราย,"8796.0,9239.0","11.0,7.0",0.0,2.0,0.0,0.0,"3.0,3.0","A0204,A0204",Orchard
1449,100.90253844827777,12.705916982570686,0.003,0.003,971.0,48B,ปานกลาง,ดินร่วนปนดินเหนียว,"9858.0,9858.0,9858.0,9858.0","18.0,18.0,18.0,18.0",0.0,4.0,0.0,0.0,"3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204",Field crop
1513,100.90253844827777,12.708916982570686,0.003,0.003,"971.0,507.0","48B,40B","ปานกลาง,ต่ำ","ดินร่วนปนดินเหนียว,ดินร่วนปนทราย","9858.0,9858.0,9858.0,9858.0","18.0,18.0,18.0,18.0",0.0,4.0,0.0,0.0,"3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204",Field crop
1514,100.90553844827777,12.708916982570686,0.003,0.003,971.0,48B,ปานกลาง,ดินร่วนปนดินเหนียว,"9858.0,9858.0,9858.0,9858.0","18.0,18.0,18.0,18.0",0.0,4.0,0.0,0.0,"3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204",Rangeland
1540,100.98353844827776,12.708916982570686,0.003,0.003,33.0,40,ต่ำ,ดินร่วนปนทราย,"9453.0,9239.0,9453.0,9453.0","12.0,7.0,12.0,12.0",0.0,4.0,0.0,0.0,"3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204",Rangeland
1541,100.98653844827776,12.708916982570686,0.003,0.003,33.0,40,ต่ำ,ดินร่วนปนทราย,"8796.0,9453.0,9239.0,9453.0,9453.0","11.0,12.0,7.0,12.0,12.0",0.0,5.0,0.0,0.0,"3.0,3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204,A0204",Field crop
1542,100.98953844827776,12.708916982570686,0.003,0.003,"2.0,33.0","59,40","ปานกลาง,ต่ำ","ดินร่วนปนทราย,ดินร่วนปนทราย",9239.0,7.0,0.0,1.0,0.0,0.0,3.0,A0204,Rangeland
1581,100.90553844827777,12.711916982570688,0.003,0.003,"971.0,507.0","48B,40B","ปานกลาง,ต่ำ","ดินร่วนปนดินเหนียว,ดินร่วนปนทราย","9858.0,9858.0,9858.0,9858.0","18.0,18.0,18.0,18.0",0.0,4.0,0.0,0.0,"3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204",Field crop/Orchard
1608,100.98653844827776,12.711916982570688,0.003,0.003,33.0,40,ต่ำ,ดินร่วนปนทราย,"9453.0,9239.0,9453.0,9453.0","12.0,7.0,12.0,12.0",0.0,4.0,0.0,0.0,"3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204",Field crop
1647,100.90853844827777,12.714916982570688,0.003,0.003,"971.0,507.0,977.0","48B,40B,48C","ปานกลาง,ต่ำ,ปานกลาง","ดินร่วนปนดินเหนียว,ดินร่วนปนทราย,ดินร่วนปนดินเหนียว","9858.0,9858.0,9858.0,9858.0","18.0,18.0,18.0,18.0",0.0,4.0,0.0,0.0,"3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204",Field crop
1648,100.91153844827777,12.714916982570688,0.003,0.003,"971.0,977.0","48B,48C","ปานกลาง,ปานกลาง","ดินร่วนปนดินเหนียว,ดินร่วนปนดินเหนียว","9858.0,9858.0,9858.0,9858.0","18.0,18.0,18.0,18.0",0.0,4.0,0.0,0.0,"3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204",Field crop
1709,100.89653844827777,12.717916982570689,0.003,0.003,498.0,35b,ต่ำ,ดินร่วนปนทราย,"9858.0,9858.0,9858.0,9858.0","18.0,18.0,18.0,18.0",0.0,4.0,0.0,0.0,"3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204",Field crop
1770,100.91153844827777,12.720916982570689,0.003,0.003,"971.0,507.0","48B,40B","ปานกลาง,ต่ำ","ดินร่วนปนดินเหนียว,ดินร่วนปนทราย","8797.0,8797.0","11.0,11.0",0.0,2.0,0.0,0.0,"3.0,3.0","A0204,A0204",Orchard
2013,100.97453844827776,12.732916982570687,0.003,0.003,"33.0,507.0","40,40B","ต่ำ,ต่ำ","ดินร่วนปนทราย,ดินร่วนปนทราย","9857.0,9857.0,9857.0,9857.0","18.0,18.0,18.0,18.0",0.0,4.0,0.0,0.0,"3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204",Perennial crop
2161,100.90553844827777,12.741916982570688,0.003,0.003,"507.0,802.0","40B,43B","ต่ำ,ต่ำ","ดินร่วนปนทราย,ดินทรายปนดินร่วน","9856.0,9856.0,9856.0,9856.0,9856.0","18.0,18.0,18.0,18.0,18.0",0.0,5.0,0.0,0.0,"3.0,3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204,A0204",Field crop/Orchard
2162,100.90853844827777,12.741916982570688,0.003,0.003,"507.0,802.0","40B,43B","ต่ำ,ต่ำ","ดินร่วนปนทราย,ดินทรายปนดินร่วน","9856.0,9856.0,9856.0,9856.0,9856.0","18.0,18.0,18.0,18.0,18.0",0.0,5.0,0.0,0.0,"3.0,3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204,A0204",Field crop/Orchard
2163,100.91153844827777,12.741916982570688,0.003,0.003,"507.0,509.0,793.0","40B,40C,SC","ต่ำ,ต่ำ,-","ดินร่วนปนทราย,ดินร่วนปนทราย","9856.0,9856.0,9856.0,9856.0,9856.0","18.0,18.0,18.0,18.0,18.0",0.0,5.0,0.0,0.0,"3.0,3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204,A0204",Deciduous forest
2220,100.90553844827777,12.744916982570688,0.003,0.003,802.0,43B,ต่ำ,ดินทรายปนดินร่วน,"9856.0,9856.0,9856.0,9856.0,9856.0","18.0,18.0,18.0,18.0,18.0",0.0,5.0,0.0,0.0,"3.0,3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204,A0204",Field crop
2221,100.90853844827777,12.744916982570688,0.003,0.003,"507.0,802.0","40B,43B","ต่ำ,ต่ำ","ดินร่วนปนทราย,ดินทรายปนดินร่วน","9856.0,9856.0,9856.0,9856.0,9856.0","18.0,18.0,18.0,18.0,18.0",0.0,5.0,0.0,0.0,"3.0,3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204,A0204",Field crop/Orchard
